TO ALL FRENCH CITIZENS 		 To all French citizens 		 Score: 1.0000
UNIVERSAL 		 Universal 		 Score: 1.0000
UNIVERSAL 		 Universal 		 Score: 1.0000
UNIVERSAL 		 UNIVERSAL 		 Score: 1.0000
Universal 		 Universal 		 Score: 1.0000
Universal 		 UNIVERSAL 		 Score: 1.0000
Universal 		 UNIVERSAL 		 Score: 1.0000
TO ALL STUDENTS WITHOUT DISTINCTION 		 TO ALL STUDENTS WITHOUT DISTINCTION 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
Aah 		 Aah 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
RUA FOR ALL 		 RUA FOR ALL 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
Universal income for all 		 Universal Income for ALL 		 Score: 1.0000
Universal income for all 		 Universal income for all 		 Score: 1.0000
Universal income for all 		 universal income for all 		 Score: 1.0000
Universal income for all 		 Universal income for all 		 Score: 1.0000
Universal income for all 		 universal income for all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
Universal Income for ALL 		 Universal income for all 		 Score: 1.0000
Universal Income for ALL 		 universal income for all 		 Score: 1.0000
Universal Income for ALL 		 Universal income for all 		 Score: 1.0000
Universal Income for ALL 		 universal income for all 		 Score: 1.0000
Universal income for all 		 universal income for all 		 Score: 1.0000
Universal income for all 		 Universal income for all 		 Score: 1.0000
Universal income for all 		 universal income for all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
universal income for all 		 Universal income for all 		 Score: 1.0000
universal income for all 		 universal income for all 		 Score: 1.0000
Universal income for all 		 universal income for all 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
To all 		 To all 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
To all 		 To All 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
Aah 		 AAH 		 Score: 1.0000
Aah 		 aah 		 Score: 1.0000
Who should the Rua contact? 		 Who should the RUA contact? 		 Score: 1.0000
AAH 		 Aah 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 Aah 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
All the people 		 All the people 		 Score: 1.0000
aah 		 Aah 		 Score: 1.0000
aah 		 AAH 		 Score: 1.0000
aah 		 AAH 		 Score: 1.0000
Title deleted 		 Title deleted 		 Score: 1.0000
