revenu universel pour tous 		 revenu universel pour tous 		 Score: 1.0000
RUA POUR TOUS 		 RUA POUR TOUS 		 Score: 1.0000
A tout le monde 		 A tout le monde 		 Score: 1.0000
A tout le monde 		 A tout le monde 		 Score: 1.0000
A tout le monde 		 A tout le monde 		 Score: 1.0000
Tout le monde 		 Tout le monde 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
Titre supprimé 		 Titre supprimé 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
RUA 		 RUA 		 Score: 1.0000
A tous 		 A tous 		 Score: 1.0000
A tous 		 A tous 		 Score: 1.0000
A TOUS LES ETUDIANTS SANS DISTINCTION 		 A TOUS LES ETUDIANTS SANS DISTINCTION 		 Score: 1.0000
A tous 		 A tous 		 Score: 1.0000
RUA et AAH 		 RUA et AAH 		 Score: 1.0000
A toute personne sans revenus 		 A toute personne sans revenus 		 Score: 1.0000
Aah 		 Aah 		 Score: 1.0000
À tous 		 À tous 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
AAH 		 AAH 		 Score: 1.0000
Revenu universel pour tous 		 Revenu universel pour tous 		 Score: 1.0000
Revenu universel pour tous 		 Revenu universel pour tous 		 Score: 1.0000
Revenu universel pour tous 		 Revenu universel pour tous 		 Score: 1.0000
Guichet Unique de Prestations Sociales 		 Guichet Unique de Prestations Sociales 		 Score: 1.0000
UNIVERSEL 		 UNIVERSEL 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Pour tous 		 Pour tous 		 Score: 1.0000
Aah 		 aah 		 Score: 0.9952
aah 		 Aah 		 Score: 0.9952
A tous 		 À tous 		 Score: 0.9941
A tous 		 À tous 		 Score: 0.9941
À tous 		 A tous 		 Score: 0.9941
À tous 		 A tous 		 Score: 0.9941
À tous 		 A tous 		 Score: 0.9941
À tous 		 A tous 		 Score: 0.9941
À tout le monde 		 A tout le monde 		 Score: 0.9935
À tout le monde 		 A tout le monde 		 Score: 0.9935
À tout le monde 		 A tout le monde 		 Score: 0.9935
Pour tous 		 pour tous 		 Score: 0.9935
pour tous 		 Pour tous 		 Score: 0.9935
pour tous 		 Pour tous 		 Score: 0.9935
pour tous 		 Pour tous 		 Score: 0.9935
pour tous 		 Pour tous 		 Score: 0.9935
Travailleurs pauvre 		 Les travailleurs pauvres 		 Score: 0.9932
A tous 		 A tous . 		 Score: 0.9919
A tous . 		 A tous 		 Score: 0.9919
A tous . 		 A tous 		 Score: 0.9919
a qui le revenu universel doit s adresser 		 A qui doit s'adresser le revenu universel 		 Score: 0.9910
Aah 		 AAH 		 Score: 0.9859
Aah 		 AAH 		 Score: 0.9859
Aah 		 AAH 		 Score: 0.9859
Aah 		 AAH 		 Score: 0.9859
AAH 		 Aah 		 Score: 0.9859
AAH 		 Aah 		 Score: 0.9859
